Date,Cryptofolio_Index,Bitcoin_Index
25-01-2017,965.8090281,891.92
26-01-2017,990.588268,902.39
27-01-2017,987.5047125,918.36
28-01-2017,1000.510005,919.81
29-01-2017,1011.152058,922.07
30-01-2017,1024.233433,920.15
31-01-2017,1033.456126,920.96
01-02-2017,1043.391835,970.94
02-02-2017,1056.800537,990
03-02-2017,1072.67261,1011.46
04-02-2017,1084.273984,1031.33
05-02-2017,1072.611269,1043.52
06-02-2017,1087.700178,1028.4
07-02-2017,1096.538132,1040.14
08-02-2017,1095.229481,1062.32
09-02-2017,1031.201885,1064.7
10-02-2017,1022.688454,995.63
11-02-2017,1040.868752,988.9
12-02-2017,1036.501255,1003.52
13-02-2017,1017.949957,998.88
14-02-2017,1063.89194,991.74
15-02-2017,1088.636386,1006.21
16-02-2017,1076.023626,1007.65
17-02-2017,1081.425873,1026.12
18-02-2017,1087.653502,1049.21
19-02-2017,1087.062728,1054.76
20-02-2017,1065.868971,1048.69
21-02-2017,1057.505894,1079.28
22-02-2017,1072.592857,1114.8
23-02-2017,1109.890572,1117.27
24-02-2017,1100.448304,1172.71
25-02-2017,1102.755952,1170.41
26-02-2017,1130.752257,1144.27
27-02-2017,1133.628596,1163.78
28-02-2017,1169.182264,1180.72
01-03-2017,1285.531207,1180.04
02-03-2017,1332.953857,1224.68
03-03-2017,1394.172967,1250.71
04-03-2017,1356.159478,1277.43
05-03-2017,1393.532094,1254.29
06-03-2017,1429.759182,1267.47
07-03-2017,1390.200582,1273.21
08-03-2017,1285.670738,1223.23
09-03-2017,1371.014326,1150.35
10-03-2017,1368.165959,1189.36
11-03-2017,1589.583945,1116.32
12-03-2017,1698.376357,1176.62
13-03-2017,1801.078379,1221.78
14-03-2017,1908.602497,1232.16
15-03-2017,2076.670435,1240.16
16-03-2017,2197.278771,1251.33
17-03-2017,2208.415822,1180.16
18-03-2017,2090.647129,1099.69
19-03-2017,2321.586871,976.73
20-03-2017,2261.907403,1037.24
21-03-2017,2302.366724,1055.36
22-03-2017,2344.830498,1120.65
23-03-2017,2344.830123,1050.05
24-03-2017,2325.072755,1038.45
25-03-2017,2277.128433,936.54
26-03-2017,2323.867891,974.01
27-03-2017,2323.636609,972.05
28-03-2017,2374.369475,1044.58
29-03-2017,2445.418616,1046.08
30-03-2017,2738.990167,1042.21
31-03-2017,2914.248058,1026.64
01-04-2017,2994.296307,1071.71
02-04-2017,3845.260918,1080.61
03-04-2017,3258.850933,1102.95
04-04-2017,3376.756625,1145.52
05-04-2017,3498.120785,1134.14
06-04-2017,3357.426273,1125.81
07-04-2017,3350.790587,1178.94
08-04-2017,3452.278271,1172.65
09-04-2017,3327.974645,1176.57
10-04-2017,3362.453137,1187.3
11-04-2017,3346.707153,1187.46
12-04-2017,3582.812309,1204.81
13-04-2017,3598.67427,1201.02
14-04-2017,3593.317843,1170.33
15-04-2017,3736.098648,1167.3
16-04-2017,3757.75753,1172.61
17-04-2017,3774.953572,1183.25
18-04-2017,3881.548769,1193.77
19-04-2017,3828.843049,1212.13
20-04-2017,3807.402046,1211.08
21-04-2017,3956.120098,1229.42
22-04-2017,4037.977788,1222.71
23-04-2017,4070.59567,1231.92
24-04-2017,4316.388098,1209.63
25-04-2017,4383.114972,1250.45
26-04-2017,4605.025206,1265.99
27-04-2017,4802.300389,1281.88
28-04-2017,5128.677293,1317.74
29-04-2017,5599.015685,1317.84
30-04-2017,5855.176121,1321.87
01-05-2017,5935.094037,1348.3
02-05-2017,5893.679627,1421.03
03-05-2017,6463.751085,1453.78
04-05-2017,7479.522209,1490.72
05-05-2017,8206.063079,1540.87
06-05-2017,8725.121622,1556.81
07-05-2017,10206.46793,1579.47
08-05-2017,11617.60292,1596.92
09-05-2017,10632.72065,1723.89
10-05-2017,11219.13369,1756.52
11-05-2017,11118.12137,1780.37
12-05-2017,11606.98182,1845.76
13-05-2017,11869.55704,1723.12
14-05-2017,12146.98813,1800.86
15-05-2017,12910.85734,1808.44
16-05-2017,14451.41353,1741.7
17-05-2017,15874.27911,1726.73
